city,timestamp,aqi,pm2_5,pm10,co,no2,o3,so2,nh3,no,temperature,humidity,wind_speed,hour,day,month,day_of_week,aqi_lag_1,aqi_lag_2,aqi_change,aqi_rolling_mean_3,target_aqi
Islamabad,2026-08-02 00:00:00+00:00,155,62.54,68.72,770.43,18.49,35.71,2.08,2.81,0.01,25.3,90,2.01,0,2,8,6,155.0,156.0,0.0,155.33333333333334,149.0
Islamabad,2026-08-02 01:00:00+00:00,149,55.15,59.76,609.63,10.62,60.69,2.63,1.79,0.0,25.5,89,1.9,1,2,8,6,155.0,155.0,-6.0,153.0,142.0
Islamabad,2026-08-02 02:00:00+00:00,142,52.27,56.53,581.13,9.35,60.39,2.58,1.87,0.2,26.3,87,1.25,2,2,8,6,149.0,155.0,-7.0,148.66666666666666,141.0
Islamabad,2026-08-02 03:00:00+00:00,141,51.88,56.15,599.06,8.86,58.87,2.5,2.21,1.11,27.7,80,1.36,3,2,8,6,142.0,149.0,-1.0,144.0,121.0
Islamabad,2026-08-02 04:00:00+00:00,121,43.61,46.41,425.98,4.09,97.24,3.88,0.75,0.55,29.2,71,1.72,4,2,8,6,141.0,142.0,-20.0,134.66666666666666,117.0
Islamabad,2026-08-02 05:00:00+00:00,117,41.99,44.17,373.34,2.35,113.63,3.53,0.49,0.3,30.4,67,1.41,5,2,8,6,121.0,141.0,-4.0,126.33333333333333,119.0
Islamabad,2026-08-02 06:00:00+00:00,119,42.99,45.01,354.23,1.64,121.39,2.95,0.52,0.2,31.1,66,1.49,6,2,8,6,117.0,121.0,2.0,119.0,113.0
Islamabad,2026-08-02 07:00:00+00:00,113,40.32,42.24,324.21,1.28,121.28,2.39,0.51,0.15,31.5,66,1.56,7,2,8,6,119.0,117.0,-6.0,116.33333333333333,103.0
Islamabad,2026-08-02 08:00:00+00:00,103,36.42,38.23,298.94,1.18,116.74,1.91,0.55,0.14,32.1,64,1.29,8,2,8,6,113.0,119.0,-10.0,111.66666666666667,98.0
Islamabad,2026-08-02 09:00:00+00:00,98,34.4,36.19,288.02,1.22,114.64,1.67,0.61,0.13,32.4,63,1.35,9,2,8,6,103.0,113.0,-5.0,104.66666666666667,95.0
Islamabad,2026-08-02 10:00:00+00:00,95,33.25,35.15,286.25,1.36,114.89,1.53,0.69,0.14,32.7,61,1.32,10,2,8,6,98.0,103.0,-3.0,98.66666666666667,94.0
Islamabad,2026-08-02 11:00:00+00:00,94,32.72,34.79,289.32,1.67,116.49,1.47,0.83,0.14,32.5,61,1.26,11,2,8,6,95.0,98.0,-1.0,95.66666666666667,93.0
Islamabad,2026-08-02 12:00:00+00:00,93,32.27,34.5,296.33,2.24,116.96,1.45,0.99,0.14,32.9,54,1.61,12,2,8,6,94.0,95.0,-1.0,94.0,97.0
Islamabad,2026-08-02 13:00:00+00:00,97,33.8,36.58,341.86,5.48,107.58,1.48,1.99,0.18,31.3,67,1.59,13,2,8,6,93.0,94.0,4.0,94.66666666666667,104.0
Islamabad,2026-08-02 14:00:00+00:00,104,36.69,40.49,412.01,10.17,91.62,1.51,3.42,0.05,29.5,78,1.64,14,2,8,6,97.0,93.0,7.0,98.0,110.0
Islamabad,2026-08-02 15:00:00+00:00,110,39.35,44.29,474.23,13.09,79.06,1.51,4.49,0.0,28.3,86,0.81,15,2,8,6,104.0,97.0,6.0,103.66666666666667,118.0
Islamabad,2026-08-02 16:00:00+00:00,118,42.26,48.29,541.18,15.88,66.76,1.47,4.88,0.0,27.9,88,0.67,16,2,8,6,110.0,104.0,8.0,110.66666666666667,127.0
Islamabad,2026-08-02 17:00:00+00:00,127,46.11,53.17,621.49,18.85,54.37,1.41,4.85,0.0,27.7,88,1.79,17,2,8,6,118.0,110.0,9.0,118.33333333333333,136.0
Islamabad,2026-08-02 18:00:00+00:00,136,49.69,57.48,691.73,21.19,44.31,1.34,4.6,0.0,27.8,86,1.83,18,2,8,6,127.0,118.0,9.0,127.0,142.0
Islamabad,2026-08-02 19:00:00+00:00,142,52.35,60.44,739.1,22.41,36.98,1.24,4.33,0.01,27.3,87,1.77,19,2,8,6,136.0,127.0,6.0,135.0,150.0
Islamabad,2026-08-02 20:00:00+00:00,150,55.24,63.58,778.83,22.82,32.35,1.2,4.28,0.03,27.0,88,1.49,20,2,8,6,142.0,136.0,8.0,142.66666666666666,152.0
Islamabad,2026-08-02 21:00:00+00:00,152,58.31,66.83,811.59,22.5,29.11,1.22,4.4,0.08,26.7,87,1.42,21,2,8,6,150.0,142.0,2.0,148.0,154.0
Islamabad,2026-08-02 22:00:00+00:00,154,61.08,69.52,833.46,21.4,27.41,1.28,4.04,0.17,26.5,87,0.97,22,2,8,6,152.0,150.0,2.0,152.0,155.0
Islamabad,2026-08-02 23:00:00+00:00,155,63.1,70.78,847.83,19.45,28.01,1.53,2.86,0.23,26.5,86,0.52,23,2,8,6,154.0,152.0,1.0,153.66666666666666,155.0
Islamabad,2026-08-03 00:00:00+00:00,155,63.81,70.0,839.26,16.97,34.48,2.18,2.0,0.09,26.3,95,0.2,0,3,8,0,155.0,154.0,0.0,154.66666666666666,151.0
Islamabad,2026-08-03 01:00:00+00:00,151,55.92,59.76,577.88,7.13,89.6,4.06,0.9,0.0,26.5,95,1.39,1,3,8,0,155.0,155.0,-4.0,153.66666666666666,143.0
Islamabad,2026-08-03 02:00:00+00:00,143,52.66,56.03,522.76,6.06,95.55,3.57,0.83,0.01,27.2,91,1.06,2,3,8,0,151.0,155.0,-8.0,149.66666666666666,137.0
Islamabad,2026-08-03 03:00:00+00:00,137,50.23,53.64,527.31,7.28,91.12,3.0,0.99,0.08,28.4,84,0.96,3,3,8,0,143.0,151.0,-6.0,143.66666666666666,132.0
Islamabad,2026-08-03 04:00:00+00:00,132,47.94,51.49,534.86,7.79,89.39,2.5,1.15,0.33,28.7,83,1.7,4,3,8,0,137.0,143.0,-5.0,137.33333333333334,128.0
Islamabad,2026-08-03 05:00:00+00:00,128,46.42,50.36,523.87,6.45,96.69,2.11,1.36,0.58,29.6,79,1.99,5,3,8,0,132.0,137.0,-4.0,132.33333333333334,131.0
Islamabad,2026-08-03 06:00:00+00:00,131,47.8,52.31,503.88,4.26,113.65,1.83,1.54,0.51,30.5,73,1.71,6,3,8,0,128.0,132.0,3.0,130.33333333333334,130.0
Islamabad,2026-08-03 07:00:00+00:00,130,47.32,52.76,462.82,2.88,128.46,1.48,1.43,0.32,30.7,72,1.79,7,3,8,0,131.0,128.0,-1.0,129.66666666666666,140.0
Islamabad,2026-08-03 08:00:00+00:00,140,51.26,57.32,479.85,3.65,130.3,1.35,1.91,0.34,26.9,90,3.11,8,3,8,0,130.0,131.0,10.0,133.66666666666666,152.0
Islamabad,2026-08-03 09:00:00+00:00,152,57.19,63.87,517.33,5.1,132.12,1.4,2.48,0.37,27.2,88,1.52,9,3,8,0,140.0,130.0,12.0,140.66666666666666,154.0
Islamabad,2026-08-03 10:00:00+00:00,154,60.71,67.44,550.15,6.35,133.86,1.46,2.8,0.36,29.5,77,1.54,10,3,8,0,152.0,140.0,2.0,148.66666666666666,153.0
Islamabad,2026-08-03 11:00:00+00:00,153,59.56,65.89,550.36,6.59,132.27,1.43,2.53,0.27,30.1,74,2.01,11,3,8,0,154.0,152.0,-1.0,153.0,151.0
Islamabad,2026-08-03 12:00:00+00:00,151,55.77,61.78,527.07,6.19,132.67,1.43,2.04,0.16,27.9,86,1.66,12,3,8,0,153.0,154.0,-2.0,152.66666666666666,139.0
Islamabad,2026-08-03 13:00:00+00:00,139,50.75,56.69,510.13,6.35,128.99,1.38,1.94,0.1,28.0,85,1.41,13,3,8,0,151.0,153.0,-12.0,147.66666666666666,145.0
Islamabad,2026-08-03 14:00:00+00:00,145,53.5,59.95,555.65,9.02,117.93,1.44,2.76,0.02,27.7,87,1.14,14,3,8,0,139.0,151.0,6.0,145.0,152.0
Islamabad,2026-08-03 15:00:00+00:00,152,57.88,64.84,608.06,10.32,108.67,1.48,3.33,0.0,27.2,90,0.74,15,3,8,0,145.0,139.0,7.0,145.33333333333334,155.0
Islamabad,2026-08-03 16:00:00+00:00,155,63.8,71.0,665.11,11.19,99.17,1.54,3.46,0.0,26.8,93,1.13,16,3,8,0,152.0,145.0,3.0,150.66666666666666,159.0
Islamabad,2026-08-03 17:00:00+00:00,159,70.99,78.46,733.11,12.22,89.51,1.63,3.46,0.0,26.2,95,0.93,17,3,8,0,155.0,152.0,4.0,155.33333333333334,162.0
Islamabad,2026-08-03 18:00:00+00:00,162,77.49,85.2,795.98,13.19,80.76,1.7,3.32,0.0,26.3,92,1.3,18,3,8,0,159.0,155.0,3.0,158.66666666666666,165.0
Islamabad,2026-08-03 19:00:00+00:00,165,81.8,89.36,847.56,14.05,71.24,1.93,3.04,0.0,25.7,95,0.93,19,3,8,0,162.0,159.0,3.0,162.0,166.0
Islamabad,2026-08-03 20:00:00+00:00,166,84.71,91.84,893.28,14.46,62.87,2.31,2.82,0.0,25.6,95,1.33,20,3,8,0,165.0,162.0,1.0,164.33333333333334,167.0
Islamabad,2026-08-03 21:00:00+00:00,167,86.41,93.08,925.75,14.3,56.76,2.74,2.88,0.0,25.4,96,1.02,21,3,8,0,166.0,165.0,1.0,166.0,167.0
Islamabad,2026-08-03 22:00:00+00:00,167,86.3,92.32,927.34,13.43,53.38,2.88,2.74,0.0,25.3,95,0.64,22,3,8,0,167.0,166.0,0.0,166.66666666666666,166.0
Islamabad,2026-08-03 23:00:00+00:00,166,84.48,90.01,915.49,11.98,53.58,2.67,2.31,0.0,24.6,95,0.35,23,3,8,0,167.0,167.0,-1.0,166.66666666666666,164.0
Islamabad,2026-08-04 00:00:00+00:00,164,81.24,86.28,881.29,10.1,58.68,2.55,1.92,0.0,24.5,96,1.25,0,4,8,1,166.0,167.0,-2.0,165.66666666666666,161.0
Islamabad,2026-08-04 01:00:00+00:00,161,75.56,80.28,824.59,7.84,69.76,2.47,1.74,0.0,24.4,97,0.49,1,4,8,1,164.0,166.0,-3.0,163.66666666666666,160.0
Islamabad,2026-08-04 02:00:00+00:00,160,73.69,78.84,814.52,7.58,71.44,2.23,1.68,0.09,24.8,94,0.65,2,4,8,1,161.0,164.0,-1.0,161.66666666666666,160.0
Islamabad,2026-08-04 03:00:00+00:00,160,73.24,79.3,825.46,8.12,73.19,2.09,1.77,0.53,26.1,90,0.8,3,4,8,1,160.0,161.0,0.0,160.33333333333334,158.0
Islamabad,2026-08-04 04:00:00+00:00,158,68.87,76.18,779.77,6.58,93.55,2.01,1.63,0.77,28.0,79,0.56,4,4,8,1,160.0,160.0,-2.0,159.33333333333334,160.0
Islamabad,2026-08-04 05:00:00+00:00,160,72.96,81.0,764.28,5.05,116.16,2.04,1.71,0.62,29.6,72,0.72,5,4,8,1,158.0,160.0,2.0,159.33333333333334,165.0
Islamabad,2026-08-04 06:00:00+00:00,165,83.57,92.05,761.63,3.63,141.37,2.05,1.75,0.39,30.7,68,1.43,6,4,8,1,160.0,158.0,5.0,161.0,142.0
Islamabad,2026-08-04 07:00:00+00:00,142,52.24,58.62,573.01,1.75,145.48,1.44,0.98,0.18,31.0,67,1.81,7,4,8,1,165.0,160.0,-23.0,155.66666666666666,104.0
Islamabad,2026-08-04 08:00:00+00:00,104,36.88,42.19,483.03,1.27,138.86,1.0,0.78,0.14,31.6,65,0.85,8,4,8,1,142.0,165.0,-38.0,137.0,97.0
Islamabad,2026-08-04 09:00:00+00:00,97,34.0,39.45,456.64,1.24,136.84,0.87,0.8,0.14,31.9,65,0.45,9,4,8,1,104.0,142.0,-7.0,114.33333333333333,93.0
Islamabad,2026-08-04 10:00:00+00:00,93,32.25,38.29,439.54,1.31,136.16,0.8,0.85,0.15,31.9,65,0.59,10,4,8,1,97.0,104.0,-4.0,98.0,90.0
Islamabad,2026-08-04 11:00:00+00:00,90,30.57,37.34,424.02,1.51,134.27,0.76,0.9,0.15,31.4,68,0.92,11,4,8,1,93.0,97.0,-3.0,93.33333333333333,87.0
Islamabad,2026-08-04 12:00:00+00:00,87,29.18,36.76,413.51,1.95,132.24,0.76,0.96,0.15,31.5,66,1.76,12,4,8,1,90.0,93.0,-3.0,90.0,90.0
Islamabad,2026-08-04 13:00:00+00:00,90,30.68,39.58,475.94,6.95,116.26,0.92,2.13,0.29,30.7,70,1.11,13,4,8,1,87.0,90.0,3.0,89.0,99.0
Islamabad,2026-08-04 14:00:00+00:00,99,34.75,45.46,588.83,14.43,93.18,1.17,3.95,0.09,29.6,78,0.43,14,4,8,1,90.0,87.0,9.0,92.0,112.0
Islamabad,2026-08-04 15:00:00+00:00,112,39.81,52.28,689.9,18.84,78.7,1.34,5.22,0.0,28.9,84,1.18,15,4,8,1,99.0,90.0,13.0,100.33333333333333,126.0
Islamabad,2026-08-04 16:00:00+00:00,126,45.62,59.08,779.17,21.54,69.49,1.45,5.76,0.0,28.5,82,1.59,16,4,8,1,112.0,99.0,14.0,112.33333333333333,140.0
Islamabad,2026-08-04 17:00:00+00:00,140,51.36,65.37,861.15,23.2,61.66,1.49,5.77,0.0,28.0,83,1.21,17,4,8,1,126.0,112.0,14.0,126.0,151.0
Islamabad,2026-08-04 18:00:00+00:00,151,55.87,70.15,933.36,24.52,53.94,1.45,5.42,0.0,28.2,88,0.32,18,4,8,1,140.0,126.0,11.0,139.0,153.0
Islamabad,2026-08-04 19:00:00+00:00,153,59.01,72.82,979.22,24.92,47.04,1.32,4.53,0.0,27.6,88,0.6,19,4,8,1,151.0,140.0,2.0,148.0,154.0
Islamabad,2026-08-04 20:00:00+00:00,154,61.79,74.2,1016.21,23.86,41.23,1.27,3.34,0.01,27.2,88,1.3,20,4,8,1,153.0,151.0,1.0,152.66666666666666,155.0
Islamabad,2026-08-04 21:00:00+00:00,155,63.68,73.85,1035.22,21.24,39.9,1.4,2.52,0.01,25.7,85,2.17,21,4,8,1,154.0,153.0,1.0,154.0,152.0
Islamabad,2026-08-04 22:00:00+00:00,152,57.2,63.97,878.11,12.64,69.07,1.87,1.96,0.0,25.3,89,1.25,22,4,8,1,155.0,154.0,-3.0,153.66666666666666,150.0
Islamabad,2026-08-04 23:00:00+00:00,150,55.29,60.71,839.99,10.44,71.1,1.94,1.76,0.0,25.0,94,0.73,23,4,8,1,152.0,155.0,-2.0,152.33333333333334,149.0
Islamabad,2026-08-05 00:00:00+00:00,149,55.14,59.97,837.83,9.94,66.94,1.92,1.89,0.0,24.9,95,0.94,0,5,8,2,150.0,152.0,-1.0,150.33333333333334,149.0
Islamabad,2026-08-05 01:00:00+00:00,149,55.01,59.95,841.09,9.89,62.42,1.66,2.04,0.0,25.0,94,0.79,1,5,8,2,149.0,150.0,0.0,149.33333333333334,148.0
Islamabad,2026-08-05 02:00:00+00:00,148,54.71,60.44,855.74,10.81,57.64,1.51,2.22,0.2,25.9,91,0.85,2,5,8,2,149.0,149.0,-1.0,148.66666666666666,149.0
Islamabad,2026-08-05 03:00:00+00:00,149,54.97,61.81,885.6,11.14,59.14,1.61,2.63,1.24,27.0,86,1.15,3,5,8,2,148.0,149.0,1.0,148.66666666666666,124.0
Islamabad,2026-08-05 04:00:00+00:00,124,44.64,59.46,606.75,4.6,105.92,2.15,1.13,0.49,28.4,78,1.32,4,5,8,2,149.0,148.0,-25.0,140.33333333333334,119.0
Islamabad,2026-08-05 05:00:00+00:00,119,42.83,60.96,510.55,2.62,120.04,2.11,0.74,0.28,29.6,73,1.44,5,5,8,2,124.0,149.0,-5.0,130.66666666666666,125.0
Islamabad,2026-08-05 06:00:00+00:00,125,45.09,63.79,484.2,1.92,127.9,2.01,0.64,0.2,31.1,66,1.73,6,5,8,2,119.0,124.0,6.0,122.66666666666667,129.0
Islamabad,2026-08-05 07:00:00+00:00,129,46.71,65.69,463.13,1.57,132.42,1.91,0.54,0.16,31.4,66,2.2,7,5,8,2,125.0,119.0,4.0,124.33333333333333,127.0
Islamabad,2026-08-05 08:00:00+00:00,127,45.99,64.62,439.37,1.41,133.47,1.75,0.47,0.15,31.4,67,2.12,8,5,8,2,129.0,125.0,-2.0,127.0,124.0
Islamabad,2026-08-05 09:00:00+00:00,124,44.89,62.94,422.0,1.38,133.66,1.63,0.45,0.14,31.4,68,2.11,9,5,8,2,127.0,129.0,-3.0,126.66666666666667,123.0
Islamabad,2026-08-05 10:00:00+00:00,123,44.59,62.66,413.97,1.48,134.68,1.57,0.47,0.14,31.4,68,1.66,10,5,8,2,124.0,127.0,-1.0,124.66666666666667,123.0
Islamabad,2026-08-05 11:00:00+00:00,123,44.55,63.01,410.62,1.8,134.98,1.56,0.56,0.15,31.6,67,1.35,11,5,8,2,123.0,124.0,0.0,123.33333333333333,123.0
Islamabad,2026-08-05 12:00:00+00:00,123,44.32,63.37,410.88,2.47,134.15,1.6,0.71,0.14,32.2,64,1.65,12,5,8,2,123.0,123.0,0.0,123.0,126.0
Islamabad,2026-08-05 13:00:00+00:00,126,45.56,65.22,438.29,4.74,129.5,1.71,1.33,0.11,30.6,71,2.88,13,5,8,2,123.0,123.0,3.0,124.0,132.0
Islamabad,2026-08-05 14:00:00+00:00,132,48.17,68.01,487.83,7.86,121.43,1.87,2.32,0.02,28.9,80,2.36,14,5,8,2,126.0,123.0,6.0,127.0,138.0
Islamabad,2026-08-05 15:00:00+00:00,138,50.72,70.36,535.68,9.47,114.43,2.03,3.2,0.0,28.2,83,2.11,15,5,8,2,132.0,126.0,6.0,132.0,145.0
Islamabad,2026-08-05 16:00:00+00:00,145,53.31,71.9,586.08,10.47,106.96,2.2,3.73,0.0,27.8,82,1.72,16,5,8,2,138.0,132.0,7.0,138.33333333333334,152.0
Islamabad,2026-08-05 17:00:00+00:00,152,57.34,75.01,646.03,11.26,99.71,2.43,3.61,0.0,27.4,84,1.77,17,5,8,2,145.0,138.0,7.0,145.0,154.0
Islamabad,2026-08-05 18:00:00+00:00,154,61.99,79.58,694.98,11.72,92.78,2.66,3.06,0.0,27.9,87,2.11,18,5,8,2,152.0,145.0,2.0,150.33333333333334,156.0
Islamabad,2026-08-05 19:00:00+00:00,156,65.66,81.49,734.46,12.13,83.72,3.25,2.46,0.0,27.0,89,2.38,19,5,8,2,154.0,152.0,2.0,154.0,159.0
Islamabad,2026-08-05 20:00:00+00:00,159,70.34,82.82,780.94,12.08,75.38,3.71,1.97,0.0,26.2,90,2.44,20,5,8,2,156.0,154.0,3.0,156.33333333333334,161.0
Islamabad,2026-08-05 21:00:00+00:00,161,75.64,85.29,822.41,11.38,68.7,3.75,1.65,0.0,23.6,93,3.02,21,5,8,2,159.0,156.0,2.0,158.66666666666666,163.0
Islamabad,2026-08-05 22:00:00+00:00,163,79.34,86.55,841.97,10.23,63.63,3.33,1.43,0.0,22.5,95,3.89,22,5,8,2,161.0,159.0,2.0,161.0,163.0
Islamabad,2026-08-05 23:00:00+00:00,163,79.7,85.48,863.76,9.49,60.15,3.08,1.26,0.0,22.8,96,1.55,23,5,8,2,163.0,161.0,0.0,162.33333333333334,162.0
Islamabad,2026-08-06 00:00:00+00:00,162,76.06,80.78,879.46,9.0,57.76,3.24,1.15,0.0,24.2,96,1.3,0,6,8,3,163.0,163.0,-1.0,162.66666666666666,157.0
Islamabad,2026-08-06 01:00:00+00:00,157,66.82,70.93,853.81,7.26,67.88,4.32,0.89,0.0,24.3,95,0.98,1,6,8,3,162.0,163.0,-5.0,160.66666666666666,155.0
Islamabad,2026-08-06 02:00:00+00:00,155,64.08,68.04,863.42,7.36,68.66,4.46,0.99,0.08,25.0,94,0.81,2,6,8,3,157.0,162.0,-2.0,158.0,156.0
Islamabad,2026-08-06 03:00:00+00:00,156,64.85,69.12,879.75,7.82,70.88,4.24,1.2,0.55,26.7,87,0.71,3,6,8,3,155.0,157.0,1.0,156.0,157.0
Islamabad,2026-08-06 04:00:00+00:00,157,68.06,73.1,862.35,7.03,87.13,4.2,1.24,0.8,28.9,73,0.3,4,6,8,3,156.0,155.0,1.0,156.0,161.0
Islamabad,2026-08-06 05:00:00+00:00,161,75.42,81.73,820.3,5.78,107.94,4.34,1.27,0.61,30.5,65,0.81,5,6,8,3,157.0,156.0,4.0,158.0,164.0
Islamabad,2026-08-06 06:00:00+00:00,164,81.61,89.55,764.56,4.45,127.06,4.56,1.14,0.38,31.7,59,1.23,6,6,8,3,161.0,157.0,3.0,160.66666666666666,156.0
Islamabad,2026-08-06 07:00:00+00:00,156,64.97,84.32,528.86,2.66,128.44,4.09,0.38,0.18,32.2,58,0.9,7,6,8,3,164.0,161.0,-8.0,160.33333333333334,153.0
Islamabad,2026-08-06 08:00:00+00:00,153,58.74,83.39,441.04,2.01,127.62,3.38,0.29,0.17,32.1,57,2.1,8,6,8,3,156.0,164.0,-3.0,157.66666666666666,152.0
Islamabad,2026-08-06 09:00:00+00:00,152,57.87,84.83,408.3,1.77,130.5,2.98,0.35,0.17,31.9,60,1.56,9,6,8,3,153.0,156.0,-1.0,153.66666666666666,150.0
Islamabad,2026-08-06 10:00:00+00:00,150,55.27,84.66,378.17,1.66,131.1,2.54,0.37,0.16,30.1,69,2.76,10,6,8,3,152.0,153.0,-2.0,151.66666666666666,142.0
Islamabad,2026-08-06 11:00:00+00:00,142,52.0,81.79,354.83,1.8,129.46,2.2,0.43,0.15,29.4,71,2.31,11,6,8,3,150.0,152.0,-8.0,148.0,137.0
Islamabad,2026-08-06 12:00:00+00:00,137,50.23,79.95,346.02,2.31,128.24,2.07,0.54,0.14,31.8,60,2.14,12,6,8,3,142.0,150.0,-5.0,143.0,141.0
Islamabad,2026-08-06 13:00:00+00:00,141,51.91,81.68,370.47,4.32,124.42,2.16,1.09,0.11,30.4,68,2.2,13,6,8,3,137.0,142.0,4.0,140.0,152.0
Islamabad,2026-08-06 14:00:00+00:00,152,57.53,86.9,424.78,7.15,118.67,2.43,2.03,0.02,28.7,72,2.18,14,6,8,3,141.0,137.0,11.0,143.33333333333334,156.0
Islamabad,2026-08-06 15:00:00+00:00,156,64.27,92.87,481.71,8.64,114.74,2.75,2.93,0.0,27.9,71,1.83,15,6,8,3,152.0,141.0,4.0,149.66666666666666,159.0
Islamabad,2026-08-06 16:00:00+00:00,159,71.26,98.19,545.45,9.8,108.9,3.04,3.76,0.0,27.6,71,1.96,16,6,8,3,156.0,152.0,3.0,155.66666666666666,162.0
Islamabad,2026-08-06 17:00:00+00:00,162,77.02,102.28,609.78,11.02,100.69,3.22,4.13,0.0,27.2,74,1.79,17,6,8,3,159.0,156.0,3.0,159.0,164.0
Islamabad,2026-08-06 18:00:00+00:00,164,80.51,104.44,658.79,11.89,92.63,3.28,3.89,0.0,27.3,82,2.47,18,6,8,3,162.0,159.0,2.0,161.66666666666666,164.0
Islamabad,2026-08-06 19:00:00+00:00,164,80.45,101.55,684.23,12.05,84.99,5.05,3.06,0.0,23.6,96,2.4,19,6,8,3,164.0,162.0,0.0,163.33333333333334,164.0
Islamabad,2026-08-06 20:00:00+00:00,164,80.19,97.14,710.84,11.6,78.41,6.83,2.11,0.0,23.4,95,2.45,20,6,8,3,164.0,164.0,0.0,164.0,164.0
Islamabad,2026-08-06 21:00:00+00:00,164,79.87,92.51,730.86,10.56,73.29,7.22,1.47,0.0,23.4,94,3.0,21,6,8,3,164.0,164.0,0.0,164.0,164.0
Islamabad,2026-08-06 22:00:00+00:00,164,80.3,90.65,733.08,9.2,69.95,5.68,1.28,0.0,23.2,95,2.17,22,6,8,3,164.0,164.0,0.0,164.0,165.0
Islamabad,2026-08-06 23:00:00+00:00,165,83.33,93.03,751.38,8.83,65.64,4.43,1.36,0.0,23.5,93,1.9,23,6,8,3,164.0,164.0,1.0,164.33333333333334,167.0
Islamabad,2026-08-07 00:00:00+00:00,167,86.03,95.3,769.0,8.79,62.25,3.62,1.54,0.0,23.8,97,1.92,0,7,8,4,165.0,164.0,2.0,165.33333333333334,167.0
Islamabad,2026-08-07 01:00:00+00:00,167,87.15,95.88,781.92,8.81,60.12,3.06,1.67,0.0,23.4,97,3.18,1,7,8,4,167.0,165.0,0.0,166.33333333333334,167.0
Islamabad,2026-08-07 02:00:00+00:00,167,86.56,95.06,793.52,9.3,58.71,2.67,1.76,0.11,24.6,91,1.97,2,7,8,4,167.0,167.0,0.0,167.0,167.0
Islamabad,2026-08-07 03:00:00+00:00,167,85.88,94.51,813.2,9.79,59.67,2.43,1.95,0.74,25.8,87,0.38,3,7,8,4,167.0,167.0,0.0,167.0,167.0
Islamabad,2026-08-07 04:00:00+00:00,167,86.23,94.94,801.77,7.92,78.45,2.59,1.66,0.97,27.2,81,1.02,4,7,8,4,167.0,167.0,0.0,167.0,170.0
Islamabad,2026-08-07 05:00:00+00:00,170,91.54,100.15,799.19,5.94,102.36,2.49,1.69,0.77,29.0,74,1.41,5,7,8,4,167.0,167.0,3.0,168.0,175.0
Islamabad,2026-08-07 06:00:00+00:00,175,102.62,111.03,797.28,3.95,130.87,2.35,1.86,0.47,29.8,68,1.87,6,7,8,4,170.0,167.0,5.0,170.66666666666666,174.0
Islamabad,2026-08-07 07:00:00+00:00,174,99.27,107.28,717.18,2.23,152.11,2.39,1.16,0.24,30.7,64,1.94,7,7,8,4,175.0,170.0,-1.0,173.0,174.0
Islamabad,2026-08-07 08:00:00+00:00,174,99.63,107.09,683.67,1.89,159.36,2.21,0.99,0.19,30.9,63,0.56,8,7,8,4,174.0,175.0,0.0,174.33333333333334,175.0
